UNIPROT_ID	GENE_NAMES	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED
Q13315	ATM	Q13315	Q13315	5np0-B	NA	3056	3	3056	100.0	405	419	0	0	0
P22681	CBL	P22681	P22681	2y1m-E	NA	906	47	435	100.0	64	76	0	0	0
P60484	PTEN	P60484	P60484	5bzx-A	NA	403	14	351	100.0	154	475	0	0	0
P00533	EGFR	P00533	P00533	1nql-A	NA	1210	27	638	100.0	161	267	0	0	0
P00533	EGFR	P00533	P00533	2jiu-B	NA	1210	695	1004	100.0	74	125	0	0	0
P15056	BRAF	P15056	P15056	3prf-B	NA	766	448	723	100.0	59	771	0	0	0
Q5TYW1	ZNF658		D9IWL3	5v3g-A	NA	1059	515	681	60.5	10	15	0	0	-1
Q92560	BAP1	Q92560	Q9Y5K5	4uel-A	NA	729	5	249	43.6	63	88	0.0001	0.041425	0.00335588
Q9BYW2	SETD2	Q9BYW2	Q9BYW2	5lsz-A	NA	2564	1434	1699	100.0	59	90	0.0001	0.041425	0.00335588
Q8WWX0	ASB5		Q96DX5	3zkj-D	NA	329	70	326	53.3	77	103	0.0001	0.041425	-1
Q15831	STK11	Q15831	Q15831	2wtk-F	NA	433	45	340	100.0	47	61	0.0001	0.041425	0.00335588
O95397	PLEKHA8P1		Q96JA3	5kdi-A	NA	391	193	391	96.5	36	41	0.0001	0.041425	-1
Q8NEZ4	KMT2C	Q8NEZ4	Q8NEZ4	2ysm-A	NA	4911	342	439	100.0	46	96	0.0001	0.041425	0.00335588
P37173	TGFBR2	P37173	P37173	5e92-A	NA	567	240	543	100.0	73	115	0.0001	0.041425	0.00335588
Q9H4Q3	PRDM13		D9IWL3	5v3g-A	NA	707	573	686	32.3	28	30	0.0001	0.041425	-1
Q9Y5H5	PCDHA9		Q91Y13	5dzv-B	NA	950	30	557	84.7	112	161	0.0001	0.041425	-1
P49765	VEGFB		P49765	2vwe-B	NA	207	32	129	100.0	12	14	0.0001	0.041425	-1
Q13029	PRDM2		Q07120	2kmk-A	NA	1718	360	412	39.6	11	13	0.0001	0.041425	-1
A2A3L6	TTC24		Q9VB22	5a7d-B	NA	582	62	419	24.8	29	32	0.0002	0.0764769	-1
O95998	IL18BP		Q9DHU8	4eee-A	NA	194	74	169	28.3	9	10	0.0002	0.0764769	-1
Q9UHL9	GTF2IRD1		P78347	2ed2-A	NA	959	250	336	20.2	12	13	0.0002	0.0764769	-1
O00571	DDX3X	O00571	O00571	5e7j-A	NA	662	133	584	100.0	98	146	0.0002	0.0764769	0.00652
Q14145	KEAP1	Q14145	Q14145	5f72-C	NA	624	325	609	100.0	72	112	0.0003	0.104653	0.00950833
Q8N7C7	RNF148		Q8TEB7	3icu-A	NA	305	35	188	50.9	35	45	0.0003	0.104653	-1
Q08209	PPP3CA		Q08209	1aui-A	NA	521	14	486	100.0	63	72	0.0003	0.104653	-1
P98161	PKD1		P98161	1b4r-A	NA	4303	275	354	100.0	9	11	0.0003	0.104653	-1
Q9HBI1	PARVB		Q9HBI1	4edm-A	NA	364	238	364	100.0	15	19	0.0003	0.104653	-1
B2RN74	OR11H12		P29274	4uhr-A	NA	326	52	322	22.7	52	78	0.0004	0.137131	-1
Q14839	CHD4	Q14839	P22082	5x0y-O	NA	1912	713	1335	37.8	121	195	0.0005	0.15781	0.0150132
Q15118	PDK1		Q15118	2q8f-A	NA	436	41	423	100.0	50	50	0.0005	0.15781	-1
Q14019	COTL1		Q14019	1t3x-A	NA	142	2	131	100.0	15	16	0.0005	0.15781	-1
O96017	CHEK2	O96017	O96017	3i6w-F	NA	543	92	501	100.0	87	100	0.0005	0.15781	0.0150132
Q8IYB4	PEX5L		Q8C437	4eqf-A	NA	626	314	625	99.0	54	66	0.0005	0.15781	-1
Q8NFW1	COL22A1		P02466	3hqv-B	NA	1626	481	1401	41.4	274	305	0.0006	0.175447	-1
Q9Y662	HS3ST3B1		Q9Y663	1t8u-B	NA	390	124	390	96.6	32	34	0.0006	0.175447	-1
Q9P2F6	ARHGAP20		Q9P2F6	3msx-B	NA	1191	360	551	100.0	44	47	0.0006	0.175447	-1
Q9H898	ZMAT4		Q8AVN9	1zu1-A	NA	229	10	106	52.6	26	30	0.0006	0.175447	-1
Q96MC5	BMERB1		Q8TDZ2	5lpn-B	NA	204	4	141	24.8	19	24	0.0006	0.175447	-1
Q8NG94	OR11H1		P29274	4uhr-A	NA	326	52	322	23.0	23	30	0.0007	0.190668	-1
Q13702	RAPSN		P81274	3sf4-B	NA	412	38	326	20.3	30	32	0.0007	0.190668	-1
P55771	PAX9		Q02548	1mdm-A	NA	341	7	130	74.2	23	24	0.0007	0.190668	-1
Q2M3W8	ZNF181		Q96SE7	2ema-A	NA	571	150	182	33.3	9	10	0.0007	0.190668	-1
Q8NA54	IQUB		Q8NA54	2daf-A	NA	791	123	227	100.0	22	25	0.0007	0.190668	-1
Q8NEZ4	KMT2C	Q8NEZ4	Q92784	5szc-A	NA	4911	952	1054	37.3	29	40	0.0008	0.206587	0.02282
P08519	LPA		P00747	4a5t-S	NA	2040	2870	3412	46.1	17	22	0.0008	0.206587	-1
Q9NR61	DLL4		Q07008	5uk5-A	NA	685	365	521	34.8	24	26	0.0008	0.206587	-1
P10276	RARA	P10276	P10276	5k13-A	NA	462	181	415	100.0	41	56	0.0008	0.206587	0.02282
P06400	RB1	P06400	P06400	4elj-A	NA	928	53	771	100.0	106	118	0.0009	0.220933	0.02445
Q9BXT4	TDRD1		P25823	4q5y-A	NA	1180	715	1129	22.9	63	75	0.0009	0.220933	-1
Q16236	NFE2L2	Q16236	Q16236	4ifl-P	NA	605	69	84	100.0	7	90	0.0009	0.220933	0.02445
Q8N283	ANKRD35		Q01484	5y4d-A	NA	1001	27	242	34.3	49	56	0.0009	0.220933	-1
Q13018	PLA2R1		Q9UBG0	5ew6-A	NA	1463	25	507	38.7	67	76	0.001	0.239566	-1
Q9Y2L1	DIS3	Q9Y2L1	Q08162	5g06-J	NA	958	5	911	43.5	106	143	0.001	0.239566	0.0265349
Q969K4	ABTB1		Q13105	2q81-B	NA	478	106	212	30.7	20	26	0.0011	0.251407	-1
Q8WV37	ZNF480		D9IWL3	5v3g-A	NA	535	312	478	58.7	30	38	0.0011	0.251407	-1
Q6NT76	HMBOX1		Q6NT76	4j19-A	NA	420	269	345	100.0	11	14	0.0011	0.251407	-1
P13535	MYH8		P12883	5wlz-C	NA	1937	1680	1751	73.6	21	28	0.0011	0.251407	-1
Q9Y5G8	PCDHGA5		Q9H251	5tfm-A	NA	931	558	666	32.5	29	42	0.0012	0.262207	-1
O95407	TNFRSF6B		O95407	4kgg-D	NA	300	33	195	100.0	14	15	0.0012	0.262207	-1
Q8WWF8	CAPSL		Q13938	3e3r-B	NA	208	26	208	54.1	56	75	0.0012	0.262207	-1
Q8NC26	ZNF114		D9IWL3	5v3g-A	NA	417	175	355	31.9	22	25	0.0012	0.262207	-1
Q15746	MYLK		Q9JMB8	5e5u-D	NA	1914	251	512	20.3	39	54	0.0013	0.272097	-1
P47813	EIF1AX		P47813	1d7q-A	NA	144	2	144	100.0	31	70	0.0013	0.272097	-1
P35590	TIE1		P35590	5n06-B	NA	1138	644	737	100.0	15	16	0.0013	0.272097	-1
Q52M93	ZNF585B		D9IWL3	5v3g-A	NA	769	575	741	63.5	22	24	0.0013	0.272097	-1
P56545	CTBP2		P56545	4lcj-D	NA	445	33	361	100.0	44	45	0.0014	0.281188	-1
Q8N8Q3	ENDOV		Q8N8Q3	4nsp-A	NA	282	13	250	100.0	19	21	0.0014	0.281188	-1
P67870	CSNK2B		P67870	1jwh-D	NA	215	2	205	100.0	26	31	0.0014	0.281188	-1
P55317	FOXA1	P55317	P55318	1vtn-C	NA	472	168	268	95.0	36	73	0.0014	0.281188	0.0363045
Q9UPN3	MACF1		P15924	3r6n-A	NA	7388	579	1037	35.7	63	72	0.0015	0.295307	-1
P48547	KCNC1		P51787	4umo-B	NA	511	444	483	20.0	11	12	0.0015	0.295307	-1
Q14145	KEAP1	Q14145	Q14145	5nlb-A	NA	624	51	204	100.0	58	86	0.0017	0.310117	0.0421674
Q9UN66	PCDHB8		Q91XX9	5szn-A	NA	801	32	557	45.7	183	257	0.0017	0.310117	-1
P0C7T3	OR56A5		P07550	4gbr-A	NA	313	23	310	23.9	70	86	0.0017	0.310117	-1
P08514	ITGA2B		P08514	2knc-A	NA	1039	991	1039	100.0	8	13	0.0017	0.310117	-1
Q8WW43	APH1B		Q96BI3	5fn2-C	NA	257	2	243	58.9	26	32	0.0017	0.310117	-1
P45452	MMP13		P45452	4g0d-B	NA	471	104	471	100.0	77	89	0.0017	0.310117	-1
P33176	KIF5B	P33176	P33176	4lnu-K	NA	963	8	323	100.0	48	51	0.0017	0.310117	0.0421674
Q15717	ELAVL1		P26368	5ev2-A	NA	326	183	317	29.9	24	28	0.0017	0.310117	-1
P01860	IGHG3		-	4nhh-J	NA	446	168	374	92.8	42	50	0.0018	0.322443	-1
Q6U7Q0	ZNF322		Q07230	2i13-A	NA	402	10	65	31.7	11	13	0.0018	0.322443	-1
Q92574	TSC1	Q92574	Q09778	4kk0-A	NA	1164	85	263	25.2	31	33	0.002	0.348842	0.0475417
Q14766	LTBP1		P35555	1emn-A	NA	1721	1415	1466	22.9	16	17	0.002	0.348842	-1
Q03111	MLLT1	Q03111	Q03111	5j9s-A	NA	559	5	148	100.0	27	37	0.002	0.348842	0.0475417
Q13232	NME3		Q13232	1zs6-A	NA	169	18	169	100.0	10	11	0.0021	0.352781	-1
P19338	NCL		P19338	2krr-A	NA	710	300	468	100.0	23	25	0.0021	0.352781	-1
Q9HBG4	ATP6V0A4		P32563	5voy-b	NA	840	10	832	37.8	124	130	0.0021	0.352781	-1
P04746	AMY2A		P04746	3cpu-A	NA	511	17	511	100.0	54	72	0.0022	0.352781	-1
Q96EL2	MRPS24		Q2M2T7	3jd5-C	NA	167	36	167	90.9	17	19	0.0022	0.352781	-1
Q8WXF0	SRSF12		Q61474	5x3z-A	NA	261	12	114	29.1	12	20	0.0022	0.352781	-1
Q86Y07	VRK2		Q86Y07	2v62-A	NA	508	15	330	100.0	43	48	0.0022	0.352781	-1
Q15562	TEAD2		Q15562	5emv-B	NA	447	218	446	100.0	37	38	0.0022	0.352781	-1
Q6P2Q9	PRPF8		Q6P2Q9	3jcr-A	NA	2335	26	2314	100.0	280	270	0.0022	0.352781	-1
Q70CQ1	USP49		Q8TEY7	2uzg-A	NA	688	2	86	30.7	12	16	0.0022	0.352781	-1
O76002	OR2J2		P21453	3v2y-A	NA	312	19	306	26.1	84	103	0.0023	0.360104	-1
Q8NEZ4	KMT2C	Q8NEZ4	Q8NEZ4	5f59-A	NA	4911	4757	4910	100.0	24	26	0.0023	0.360104	0.052486
P36888	FLT3	P36888	P36888	4xuf-B	NA	993	600	946	100.0	67	93	0.0023	0.360104	0.052486
Q9BY84	DUSP16		Q9BY84	3tg3-D	NA	665	8	138	100.0	10	12	0.0024	0.361527	-1
P21860	ERBB3	P21860	P21860	5cus-D	NA	1342	57	623	100.0	99	186	0.0024	0.361527	0.0536941
Q9UPN6	SCAF8		Q9UPN6	3d9i-B	NA	1271	1	136	100.0	16	15	0.0024	0.361527	-1
Q9Y4P1	ATG4B		Q9Y4P1	2d1i-A	NA	393	10	373	100.0	38	41	0.0024	0.361527	-1
Q5VZF2	MBNL2		Q5VZF2	2e5s-A	NA	373	167	257	100.0	19	23	0.0024	0.361527	-1
Q8WXG9	ADGRV1		P23685	3us9-A	NA	6306	4267	4479	28.8	40	46	0.0025	0.37097	-1
P56705	WNT4		P28026	4f0a-B	NA	351	58	350	43.8	38	41	0.0025	0.37097	-1
Q7L266	ASRGL1		Q7L266	4o0g-B	NA	308	1	308	100.0	42	49	0.0026	0.375432	-1
P56559	ARL4C		P36397	3aq4-A	NA	192	1	175	49.1	18	17	0.0027	0.375432	-1
Q8WU10	PYROXD1		Q52437	2yvg-A	NA	500	284	462	23.1	20	20	0.0027	0.375432	-1
Q9BXK1	KLF16		P03001	1tf6-A	NA	252	57	188	24.3	11	12	0.0027	0.375432	-1
Q9NUG4	CCM2L		Q9BSQ5	4ykc-A	NA	571	406	545	51.7	10	15	0.0027	0.375432	-1
Q96BZ9	TBC1D20		Q96BZ9	4hlq-C	NA	403	25	305	100.0	36	43	0.0027	0.375432	-1
Q8NH37	OR4C3		P21453	3v2y-A	NA	302	13	300	24.3	93	125	0.0027	0.375432	-1
Q13887	KLF5		Q13887	2ebt-A	NA	457	365	457	100.0	10	34	0.0027	0.375432	-1
P25024	CXCR1		P25024	2lnl-A	NA	350	29	324	100.0	59	77	0.0027	0.375432	-1
Q9H1A4	ANAPC1		Q9H1A4	5g04-A	NA	1944	11	1933	100.0	123	153	0.0028	0.378743	-1
P01111	NRAS	P01111	P01111	5uhv-A	NA	189	1	166	100.0	40	366	0.0028	0.378743	0.0614385
Q8N465	D2HGDH		Q6NAV4	3pm9-F	NA	521	61	517	40.0	64	63	0.0028	0.378743	-1
Q6UXG3	CD300LG		Q9UGN4	2q87-A	NA	332	20	125	39.6	19	23	0.0028	0.378743	-1
P05556	ITGB1		P05556	4wk4-B	NA	798	24	465	100.0	51	60	0.0029	0.381011	-1
Q5THR3	EFCAB6		K4DIE3	3u0k-A	NA	1501	948	1135	21.2	30	34	0.0029	0.381011	-1
Q16854	DGUOK		Q16854	2ocp-G	NA	277	37	277	100.0	30	34	0.0029	0.381011	-1
O60879	DIAPH2		O08808	1z2c-B	NA	1101	106	467	54.2	70	82	0.003	0.381011	-1
Q7Z6B7	SRGAP1		O75044	5i6r-A	NA	1085	5	471	79.3	71	79	0.003	0.381011	-1
Q4V339	ZNG1F		P24203	4ixn-B	NA	395	42	373	30.0	15	15	0.003	0.381011	-1
Q5VUJ5	AGAP7P		Q8TDY4	3lvq-E	NA	663	442	655	33.5	11	18	0.003	0.381011	-1
Q6PML9	SLC30A9		Q8E919	3j1z-P	NA	568	254	500	25.8	29	36	0.003	0.381011	-1
Q3LIE5	ADPRM		Q7T291	2nxf-A	NA	342	17	335	51.7	39	43	0.003	0.381011	-1
Q9Y2P5	SLC27A5		Q93TK0	4rlq-B	NA	690	112	652	25.8	72	91	0.0031	0.381011	-1
Q9UIK5	TMEFF2		O95633	3b4v-D	NA	374	69	228	23.4	29	42	0.0031	0.381011	-1
Q5U5R9	HECTD2		Q05086	1c4z-A	NA	776	411	770	44.1	45	47	0.0031	0.381011	-1
Q9NPG4	PCDH12		Q99PJ1	5tpk-A	NA	1184	559	693	23.0	17	17	0.0032	0.381011	-1
Q9HBA9	FOLH1B		Q04609	1z8l-C	NA	442	1	442	98.0	122	147	0.0032	0.381011	-1
Q16236	NFE2L2	Q16236	Q60795	3wn7-M	NA	605	17	40	100.0	14	125	0.0032	0.381011	0.0688906
A6H8M9	CDHR4		Q91XX7	5szr-A	NA	788	233	650	24.4	26	30	0.0032	0.381011	-1
P49427	CDC34		P49427	3rz3-A	NA	236	7	183	100.0	23	27	0.0032	0.381011	-1
Q2TBE0	CWF19L2		Q09909	3jb9-c	NA	894	672	863	33.8	34	34	0.0032	0.381011	-1
Q5XX13	FBXW10		Q969H0	5v4b-B	NA	1052	275	677	23.6	52	58	0.0032	0.381011	-1
Q8N8Z8	ZNF441		D9IWL3	5v3g-A	NA	693	472	638	49.7	32	33	0.0032	0.381011	-1
P13236	CCL4		P13236	1je4-A	NA	92	24	92	100.0	13	16	0.0033	0.383726	-1
Q7Z5J8	ANKAR		Q02821	1wa5-B	NA	1434	686	792	31.5	10	11	0.0033	0.383726	-1
P35222	CTNNB1	P35222	P35222	1qz7-A	NA	781	142	665	100.0	100	133	0.0033	0.383726	0.0697278
Q8NBU5	ATAD1		P28737	5w0t-A	NA	361	52	337	49.5	32	36	0.0033	0.383726	-1
P31785	IL2RG		P31785	2erj-G	NA	369	54	248	100.0	33	35	0.0034	0.388538	-1
P63000	RAC1	P63000	P63000	1ryh-A	NA	192	1	182	100.0	28	77	0.0034	0.388538	0.0705345
Q9H0C2	SLC25A31		P02722	1okc-A	NA	315	17	304	73.1	58	74	0.0034	0.388538	-1
O95190	OAZ2		P54368	4zgy-B	NA	189	57	179	56.9	14	14	0.0035	0.39542	-1
Q96AY4	TTC28		P81274	3sf4-B	NA	2481	725	1072	29.6	24	30	0.0035	0.39542	-1
P56856	CLDN18		O14493	5b2g-C	NA	261	1	194	36.7	31	34	0.0036	0.402148	-1
Q92879	CELF1		Q92879	2dhs-A	NA	486	1	187	100.0	28	31	0.0036	0.402148	-1
Q96L73	NSD1	Q96L73	Q96L73	3ooi-A	NA	2696	1852	2082	100.0	43	54	0.0037	0.404235	0.0740649
Q5TB30	DEPDC1		Q5TB30	2ysr-A	NA	811	11	108	100.0	12	12	0.0037	0.404235	-1
Q13485	SMAD4	Q13485	Q13485	5mf0-B	NA	552	14	138	100.0	34	46	0.0037	0.404235	0.0740649
Q8N9N2	ASCC1		Q9P0M2	5jj2-A	NA	400	159	309	28.0	20	22	0.0037	0.404235	-1
P07686	HEXB		P07686	1now-A	NA	556	55	552	100.0	50	52	0.0038	0.410648	-1
Q8IVS2	MCAT		Q8IVS2	2c2n-B	NA	390	62	375	100.0	36	40	0.0038	0.410648	-1
P23945	FSHR		P02699	2g87-B	NA	695	362	659	23.1	70	95	0.0039	0.419176	-1
P18031	PTPN1		P18031	2cne-A	NA	435	2	343	100.0	39	40	0.004	0.427613	-1
Q5VUJ6	LRCH2		O15335	5lfn-D	NA	765	52	283	29.0	38	40	0.0041	0.43364	-1
Q9H008	LHPP		Q9H008	2x4d-B	NA	270	15	260	100.0	29	37	0.0041	0.43364	-1
Q15772	SPEG		Q5VST9	2edf-A	NA	3267	634	721	25.2	8	10	0.0042	0.439541	-1
Q8IVF4	DNAH10		Q8NCM8	4rh7-A	NA	4471	1390	4470	29.7	500	452	0.0042	0.439541	-1
Q92985	IRF7		Q14653	5jek-B	NA	503	275	499	28.3	32	32	0.0043	0.44765	-1
Q15928	ZNF141		D9IWL3	5v3g-A	NA	474	252	418	49.1	28	28	0.0044	0.449638	-1
Q8TAX9	GSDMB		Q8TAX9	5tj4-A	NA	416	221	408	100.0	18	20	0.0044	0.449638	-1
Q6ZNH5	ZNF497		Q07230	2i13-A	NA	498	143	296	50.0	19	22	0.0044	0.449638	-1
Q9NQT8	KIF13B		Q9NQT8	3gbj-A	NA	1826	5	351	100.0	34	32	0.0045	0.449638	-1
Q9NWB1	RBFOX1		Q60900	1d8z-A	NA	397	72	108	21.6	17	24	0.0045	0.449638	-1
Q86SQ4	ADGRG6		O88917	4dlq-A	NA	1221	536	840	23.4	34	38	0.0045	0.449638	-1
P04632	CAPNS1		P04632	4wq3-A	NA	268	96	268	100.0	23	27	0.0045	0.449638	-1
Q8N7C3	TRIML2		O15553	4cg4-A	NA	437	46	378	29.9	122	155	0.0045	0.449638	-1
Q15382	RHEB	Q15382	Q15382	3t5g-A	NA	184	2	180	100.0	26	39	0.0047	0.467274	0.0924603
Q8N3T1	GALNT15		Q8N4A0	5nqa-B	NA	639	138	632	42.9	92	108	0.0048	0.474842	-1
Q14344	GNA13	Q14344	P27601	3ab3-A	NA	377	47	372	96.9	69	81	0.0049	0.478342	0.094761
Q13609	DNASE1L3		P00639	2a41-B	NA	305	22	281	48.3	37	44	0.0049	0.478342	-1
P09668	CTSH		P43235	7pck-A	NA	335	25	331	41.4	41	48	0.005	0.478342	-1
Q9Y5H8	PCDHA3		Q91Y13	5dzv-B	NA	950	30	557	78.4	162	216	0.005	0.478342	-1
Q9H4F1	ST6GALNAC4		O43173	5bo7-A	NA	302	60	254	30.9	27	28	0.005	0.478342	-1
Q6P587	FAHD1		Q6P587	1saw-A	NA	224	8	224	100.0	16	17	0.0051	0.478342	-1
Q03013	GSTM4		Q03013	4gtu-A	NA	218	2	218	100.0	34	34	0.0051	0.478342	-1
Q9UBY0	SLC9A2		P19634	2e30-B	NA	812	483	525	44.2	11	11	0.0051	0.478342	-1
Q9Y4G6	TLN2		P26039	2l7a-A	NA	2542	790	914	78.4	15	16	0.0051	0.478342	-1
P51991	HNRNPA3		P09651	2lyv-A	NA	378	28	210	88.5	26	27	0.0051	0.478342	-1
O43557	TNFSF14		O43557	4kg8-B	NA	240	93	240	100.0	24	31	0.0051	0.478342	-1
Q8NGY1	OR10Z1		O43614	5ws3-A	NA	313	9	134	22.2	47	56	0.0052	0.479346	-1
O43353	RIPK2		O43353	4c8b-A	NA	540	8	316	100.0	39	39	0.0052	0.479346	-1
Q13568	IRF5		P23906	1irg-A	NA	498	11	120	43.6	24	31	0.0053	0.479346	-1
Q9C0E4	GRIP2		P97879	2qt5-A	NA	1043	43	236	68.6	28	29	0.0053	0.479346	-1
P22670	RFX1		P22670	1dp7-P	NA	979	438	513	100.0	10	11	0.0053	0.479346	-1
P10721	KIT	P10721	P10721	4hvs-A	NA	976	551	931	100.0	79	132	0.0053	0.479346	0.100788
P01236	PRL		P01236	3d48-P	NA	227	41	226	100.0	44	53	0.0054	0.479346	-1
P0DML2	CSH1		P0DML2	1z7c-A	NA	217	28	215	100.0	18	27	0.0054	0.479346	-1
Q7Z5N4	SDK1		P02751	1fnf-A	NA	2213	959	1373	21.1	97	128	0.0054	0.479346	-1
Q6UXY1	BAIAP2L2		Q80Y61	3ok8-B	NA	529	2	220	96.3	21	26	0.0054	0.479346	-1
O94925	GLS		O94925	5uqe-A	NA	669	139	643	100.0	69	69	0.0054	0.479346	-1
P0CI26	TRIM49C		O15553	4cg4-A	NA	452	131	448	26.0	34	60	0.0054	0.479346	-1
Q9ULF5	SLC39A10		L5KLU7	4x82-B	NA	831	319	376	24.1	11	13	0.0055	0.481771	-1
P54317	PNLIPRP2		P54317	2pvs-A	NA	469	18	469	100.0	77	88	0.0055	0.481771	-1
Q9UK53	ING1	Q9UK53	Q9UK53	2qic-A	NA	422	352	402	100.0	9	13	0.0055	0.481771	0.102877
Q8N7K0	ZNF433		D9IWL3	5v3g-A	NA	673	419	585	53.9	20	29	0.0056	0.482036	-1
Q8IZD9	DOCK3		Q92608	3a98-A	NA	2030	2	164	42.9	25	29	0.0056	0.482036	-1
Q8N5C8	TAB3		Q9NYJ8	2dae-A	NA	712	7	66	66.1	15	15	0.0056	0.482036	-1
Q12805	EFEMP1		P01130	3p5c-L	NA	493	293	443	26.1	24	31	0.0056	0.482036	-1
Q96D21	RASD2		Q9NZQ0	2ys8-A	NA	266	197	241	31.2	10	15	0.0057	0.486433	-1
Q5VVW2	GARNL3		P47736	3brw-A	NA	1013	85	411	38.4	38	44	0.0057	0.486433	-1
O60264	SMARCA5		G2QFM3	5jxr-A	NA	1052	83	703	57.0	69	75	0.0058	0.486787	-1
Q9NTJ5	SACM1L		P32368	3lwt-X	NA	587	18	453	34.4	38	43	0.0058	0.486787	-1
P01857	IGHG1		P01857	2rcj-O	NA	399	1	326	100.0	97	114	0.0058	0.486787	-1
Q9Y623	MYH4		P12883	4xa3-A	NA	1939	1365	1429	89.2	16	22	0.0059	0.486787	-1
O15075	DCLK1		Q3HNM6	3khe-B	NA	740	655	702	25.5	13	18	0.0059	0.486787	-1
Q9H5Y7	SLITRK6		O94813	2wfh-B	NA	841	580	622	23.3	15	25	0.0059	0.486787	-1
Q15072	ZNF146		P25490	1ubd-C	NA	292	16	123	43.9	19	22	0.0059	0.486787	-1
P21333	FLNA		P13466	1ksr-A	NA	2647	279	378	23.4	15	15	0.0059	0.486787	-1
P0DML3	CSH2		P0DML2	1z7c-A	NA	217	28	215	100.0	18	27	0.006	0.490963	-1
O75973	C1QL1		O88992	4d7y-A	NA	258	128	258	100.0	21	24	0.006	0.490963	-1
P55851	UCP2		P70406	2lck-A	NA	309	14	309	96.0	32	37	0.0061	0.493059	-1
Q86T82	USP37		O75317	5l8w-A	NA	979	342	600	29.1	29	36	0.0061	0.493059	-1
P06396	GSN		P06396	3ffn-B	NA	782	54	782	100.0	78	77	0.0061	0.493059	-1
Q15067	ACOX1		P07872	1is2-A	NA	660	1	654	88.5	77	82	0.0062	0.49908	-1
Q9BRZ2	TRIM56		Q14258	4ltb-A	NA	755	222	359	20.3	9	11	0.0063	0.49908	-1
P07360	C8G		P07360	2qos-C	NA	202	30	202	100.0	12	16	0.0063	0.49908	-1
