UNIPROT_ID	GENE_NAMES	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED
Q06124	PTPN11	Q06124	Q06124	3079-A	NA	593	1	543	100.0	92	148	0	0	0
Q15831	STK11	Q15831	Q15831	35c2-A	NA	433	25	351	100.0	52	67	0	0	0
P01116	KRAS	P01116	P01116	1df8-A	NA	189	1	189	100.0	42	1201	0	0	0
Q6S545	POTEH		Q6S545	3f04-A	NA	545	157	545	100.0	45	88	0	0	-1
Q16236	NFE2L2	Q16236	Q16236	35f5-A	NA	605	1	605	100.0	74	266	0	0	0
Q9Y261	FOXA2		Q9Y261	688a-A	NA	457	1	437	100.0	74	85	0	0	-1
P42345	MTOR	P42345	P42345	28c5-A	NA	2549	1	2549	100.0	338	390	0	0	0
Q02750	MAP2K1	Q02750	Q02750	2fc3-A	NA	393	28	393	100.0	61	125	0	0	0
P61586	RHOA	P61586	P61586	2d50-A	NA	193	1	193	100.0	55	122	0	0	0
Q9UPY3	DICER1	Q9UPY3	Q9UPY3	682e-A	NA	1922	44	1922	100.0	207	222	0	0	0
Q8NEZ4	KMT2C	Q8NEZ4	Q8NEZ4	4b48-A	NA	4911	1	1400	100.0	174	256	0	0	0
P37173	TGFBR2	P37173	P37173	2836-A	NA	567	36	567	100.0	97	139	0	0	0
P40337	VHL	P40337	P40337	2870-A	NA	213	1	213	100.0	53	120	0	0	0
P35712	SOX6		P35712	27fc-A	NA	828	1	828	100.0	59	66	0	0	-1
P27986	PIK3R1	P27986	P27986	2664-A	NA	724	1	724	100.0	125	186	0	0	0
Q03111	MLLT1	Q03111	Q03111	300b-A	NA	559	1	559	100.0	58	71	0	0	0
P42771	CDKN2A	P42771;Q8N726	P42771	28dc-A	NA	156	1	156	100.0	70	199	0	0	0
P42336	PIK3CA	P42336	P42336	28c3-A	NA	1068	1	1068	100.0	225	1636	0	0	0
P68400	CSNK2A1		P68400	2dee-A	NA	391	1	391	100.0	71	77	0	0	-1
Q86UF2	CTAGE6		Q86UF2	440f-A	NA	777	1	777	100.0	45	62	0	0	-1
P04637	TP53	P04637	P04637	1f10-A	NA	393	1	393	100.0	166	3401	0	0	0
Q969H0	FBXW7	Q969H0	Q969H0	5263-A	NA	707	34	707	100.0	116	367	0	0	0
P30153	PPP2R1A	P30153	P30153	26d8-A	NA	589	1	589	100.0	122	218	0	0	0
Q8NG57			Q8NG57	4bde-A	NA		1	546	100.0	67	107	0	0	-1
P60484	PTEN	P60484	P60484	2d04-A	NA	403	1	352	100.0	167	491	0	0	0
Q8IYB9	ZNF595		Q8IYB9	46d8-A	NA	648	1	648	100.0	114	134	0	0	-1
P51532	SMARCA4	P51532	P51532	2ad7-A	NA	1647	1	1570	100.0	230	361	0	0	0
Q9NNX9	VCX3A		Q9NNX9	5fe5-A	NA	186	1	186	100.0	11	14	0	0	-1
P46531	NOTCH1	P46531	P46531	2959-A	NA	2555	30	2426	100.0	293	308	0	0	0
P01112	HRAS	P01112	P01112	1df7-A	NA	189	1	189	100.0	28	148	0.0001	0.0308271	0.00183
Q08209	PPP3CA		Q08209	30d7-A	NA	521	1	488	100.0	81	90	0.0001	0.0308271	-1
P46100	ATRX	P46100	P46100	2951-A	NA	2492	1	2433	100.0	222	235	0.0001	0.0308271	0.00183
Q4ZJI4	SLC9B1		Q4ZJI4	3889-A	NA	515	58	515	100.0	93	110	0.0001	0.0308271	-1
P18074	ERCC2	P18074	P18074	2419-A	NA	760	1	760	100.0	114	143	0.0001	0.0308271	0.00183
Q14186	TFDP1		Q14186	3371-A	NA	410	1	410	100.0	62	72	0.0001	0.0308271	-1
Q15007	WTAP		Q15007	3492-A	NA	396	1	396	100.0	44	59	0.0001	0.0308271	-1
Q9Y448	KNSTRN		Q9Y448	6981-A	NA	316	1	316	100.0	46	74	0.0001	0.0308271	-1
P36896	ACVR1B	P36896	P36896	2826-A	NA	505	29	505	100.0	106	127	0.0001	0.0308271	0.00183
Q92600	CNOT9		Q92600	5185-A	NA	299	1	299	100.0	40	55	0.0002	0.0534941	-1
Q6U7Q0	ZNF322		Q6U7Q0	3f1d-A	NA	402	41	375	100.0	14	16	0.0002	0.0534941	-1
Q3SXZ3	ZNF718		Q3SXZ3	37c5-A	NA	478	1	478	100.0	93	119	0.0002	0.0534941	-1
Q9UN66	PCDHB8		Q9UN66	6797-A	NA	801	30	718	100.0	233	305	0.0002	0.0534941	-1
O95460	MATN4		O95460	1ce5-A	NA	622	27	622	100.0	116	143	0.0002	0.0534941	-1
Q8N999	RLIG1		Q8N999	49c7-A	NA	325	1	325	100.0	32	33	0.0002	0.0534941	-1
P10721	KIT	P10721	P10721	222b-A	NA	976	32	940	100.0	189	234	0.0002	0.0534941	0.00357073
Q7Z3J3	RGPD4		Q7Z3J3	4287-A	NA	1758	1	1758	100.0	156	183	0.0002	0.0534941	-1
P17010	ZFX		P17010	23c8-A	NA	805	1	805	100.0	58	65	0.0002	0.0534941	-1
P10914	IRF1		P10914	2238-A	NA	325	1	325	100.0	54	55	0.0003	0.0699538	-1
Q03001	DST		Q03001	3000-A	NA	7570	5001	6400	100.0	194	189	0.0003	0.0699538	-1
O60879	DIAPH2		O60879	1a20-A	NA	1101	96	1073	100.0	182	183	0.0003	0.0699538	-1
Q96RK0	CIC	Q96RK0	Q96RK0	574f-A	NA	1608	94	1608	100.0	56	103	0.0003	0.0699538	0.00510698
Q6ZU67	BEND4		Q6ZU67	4126-A	NA	534	1	534	100.0	68	75	0.0003	0.0699538	-1
O95397	PLEKHA8P1		O95397	1ccb-A	NA	391	1	391	100.0	47	54	0.0003	0.0699538	-1
Q8N653	LZTR1	Q8N653	Q8N653	48fe-A	NA	840	51	840	100.0	135	167	0.0003	0.0699538	0.00510698
Q9Y4C2	TCAF1		Q9Y4C2	69ba-A	NA	921	1	921	100.0	43	52	0.0003	0.0699538	-1
Q5TAH2	SLC9C2		Q5TAH2	3b1a-A	NA	1124	1	1091	100.0	268	284	0.0003	0.0699538	-1
A2A3L6	TTC24		A2A3L6	128f-A	NA	582	1	582	100.0	31	34	0.0003	0.0699538	-1
P28482	MAPK1	P28482	P28482	2689-A	NA	360	1	360	100.0	44	74	0.0004	0.0855906	0.00650667
P62070	RRAS2		P62070	2d6c-A	NA	204	1	204	100.0	28	46	0.0004	0.0855906	-1
Q9Y662	HS3ST3B1		Q9Y662	6ab5-A	NA	390	1	390	100.0	33	35	0.0004	0.0855906	-1
Q8WWX0	ASB5		Q8WWX0	4fa0-A	NA	329	1	329	100.0	96	125	0.0004	0.0855906	-1
P08519	LPA		P08519	2006-A	NA	2040	2001	3400	100.0	18	23	0.0004	0.0855906	-1
Q6IEZ7	OR2T5		Q6IEZ7	3d6f-A	NA	315	1	315	100.0	14	16	0.0004	0.0855906	-1
P10276	RARA	P10276	P10276	2210-A	NA	462	61	462	100.0	57	75	0.0004	0.0855906	0.00650667
Q9BVR0	HERC2P3		Q9BVR0	5a44-A	NA	1158	1	1124	100.0	138	177	0.0005	0.101044	-1
P22681	CBL	P22681	P22681	256a-A	NA	906	49	906	100.0	76	90	0.0005	0.101044	0.00795652
Q6ZVK1	TMEM179		Q6ZVK1	4150-A	NA	233	1	233	100.0	20	22	0.0005	0.101044	-1
P62979	RPS27A		P62979	2dba-A	NA	156	1	156	100.0	19	19	0.0005	0.101044	-1
Q9BXY5	CAPS2		Q9BXY5	5aed-A	NA	557	126	557	100.0	75	91	0.0005	0.101044	-1
Q9Y2P5	SLC27A5		Q9Y2P5	68ed-A	NA	690	1	690	100.0	99	115	0.0006	0.111355	-1
Q7RTU9	STRC		Q7RTU9	4248-A	NA	1775	105	1775	100.0	71	77	0.0006	0.111355	-1
P47813	EIF1AX		P47813	2984-A	NA	144	1	144	100.0	31	70	0.0006	0.111355	-1
P01111	NRAS	P01111	P01111	1df6-A	NA	189	1	189	100.0	44	370	0.0006	0.111355	0.00915
A6QL64	ANKRD36		A6QL64	1454-A	NA	1915	1	1915	100.0	49	48	0.0006	0.111355	-1
O15318	POLR3G		O15318	17d7-A	NA	223	1	223	100.0	26	32	0.0006	0.111355	-1
Q13887	KLF5		Q13887	3325-A	NA	457	1	457	100.0	14	38	0.0006	0.111355	-1
P40763	STAT3	P40763	P40763	2879-A	NA	770	1	716	100.0	116	138	0.0006	0.111355	0.00915
P01562	IFNA1;		P01562	1e21-A	NA	189	1	189	100.0	13	15	0.0007	0.118987	-1
Q9Y6R7	FCGBP		Q9Y6R7	6b25-A	NA	5405	4001	5400	100.0	227	252	0.0007	0.118987	-1
Q9H4E7	DEF6		Q9H4E7	5daf-A	NA	631	1	631	100.0	64	72	0.0007	0.118987	-1
Q9BY11	PACSIN1		Q9BY11	5af2-A	NA	444	1	444	100.0	46	48	0.0007	0.118987	-1
Q641Q2	WASHC2A		Q641Q2	3c91-A	NA	1341	1	1341	100.0	17	20	0.0007	0.118987	-1
Q969P5	FBXO32		Q969P5	5279-A	NA	355	1	355	100.0	50	58	0.0007	0.118987	-1
O96017	CHEK2	O96017	O96017	1db0-A	NA	543	1	507	100.0	93	106	0.0007	0.118987	0.010248
Q5TYW2	ANKRD20A1		Q5TYW2	3b75-A	NA	823	1	823	100.0	21	22	0.0007	0.118987	-1
Q9NQB0	TCF7L2	Q9NQB0	Q9NQB0	6069-A	NA	619	1	619	100.0	94	121	0.0007	0.118987	0.010248
Q9NU63	ZFP57		Q9NU63	61bc-A	NA	452	1	391	100.0	53	72	0.0008	0.132276	-1
Q8N465	D2HGDH		Q8N465	4888-A	NA	521	42	521	100.0	65	64	0.0008	0.132276	-1
Q9UMN6	KMT2B	Q9UMN6	Q9UMN6	677a-A	NA	2715	1201	2600	100.0	125	138	0.0008	0.132276	0.0114824
Q8WW43	APH1B		Q8WW43	4f76-A	NA	257	1	257	100.0	27	33	0.0009	0.143589	-1
A6NKT7	RGPD3		A6NKT7	13fd-A	NA	1758	1	1758	100.0	116	133	0.0009	0.143589	-1
Q92785	DPF2		Q92785	51da-A	NA	391	1	391	100.0	45	58	0.0009	0.143589	-1
Q5XX13	FBXW10		Q5XX13	3c6a-A	NA	1052	1	1052	100.0	88	92	0.0009	0.143589	-1
A8TX70	COL6A5		A8TX70	14e5-A	NA	2615	1	2510	100.0	300	283	0.001	0.155453	-1
Q6ZP82	CCDC141		Q6ZP82	4077-A	NA	1530	1	1450	100.0	207	228	0.001	0.155453	-1
Q18PE1	DOK7		Q18PE1	36ad-A	NA	504	1	504	100.0	33	34	0.001	0.155453	-1
Q9NX78	TMEM260		Q9NX78	6286-A	NA	707	1	707	100.0	99	106	0.0011	0.16399	-1
Q14344	GNA13	Q14344	Q14344	33b1-A	NA	377	1	377	100.0	81	91	0.0011	0.16399	0.0151925
P04626	ERBB2	P04626	P04626	1f0c-A	NA	1255	23	1025	100.0	148	262	0.0011	0.16399	0.0151925
Q6P2Q9	PRPF8		Q6P2Q9	3e4d-A	NA	2335	1	2335	100.0	289	276	0.0011	0.16399	-1
Q5TF21	SOGA3		Q5TF21	3b48-A	NA	947	1	947	100.0	148	183	0.0011	0.16399	-1
O00267	SUPT5H		O00267	1606-A	NA	1087	92	1087	100.0	108	121	0.0012	0.176013	-1
Q5BJF6	ODF2		Q5BJF6	390b-A	NA	829	36	808	100.0	99	115	0.0012	0.176013	-1
P0C7A2	FAM153B		P0C7A2	20b6-A	NA	387	64	387	100.0	21	28	0.0013	0.180492	-1
Q15118	PDK1		Q15118	34c7-A	NA	436	36	436	100.0	59	57	0.0013	0.180492	-1
Q9Y2L1	DIS3	Q9Y2L1	Q9Y2L1	68e2-A	NA	958	1	958	100.0	110	149	0.0013	0.180492	0.0169929
Q8N1G0	ZNF687		Q8N1G0	47df-A	NA	1237	1	1237	100.0	76	75	0.0013	0.180492	-1
Q08828	ADCY1		Q08828	30f0-A	NA	1119	35	1060	100.0	199	240	0.0013	0.180492	-1
Q9UK53	ING1	Q9UK53	Q9UK53	666a-A	NA	422	165	422	100.0	42	55	0.0013	0.180492	0.0169929
P22607	FGFR3	P22607	P22607	2563-A	NA	806	44	764	100.0	95	166	0.0013	0.180492	0.0169929
Q9Y5H5	PCDHA9		Q9Y5H5	6a44-A	NA	950	1	724	100.0	174	250	0.0014	0.190024	-1
Q6UY09	CEACAM20		Q6UY09	3fb9-A	NA	596	1	474	100.0	60	65	0.0014	0.190024	-1
Q7Z5L9	IRF2BP2		Q7Z5L9	4300-A	NA	587	1	587	100.0	32	35	0.0014	0.190024	-1
P0DKX0	ZNF728		P0DKX0	2166-A	NA	622	1	622	100.0	49	58	0.0015	0.197696	-1
Q9GZY0	NXF2		Q9GZY0	5c44-A	NA	626	121	626	100.0	9	11	0.0015	0.197696	-1
Q6ZNH5	ZNF497		Q6ZNH5	4061-A	NA	498	105	498	100.0	39	45	0.0015	0.197696	-1
Q8IYB4	PEX5L		Q8IYB4	46d4-A	NA	626	78	626	100.0	82	95	0.0015	0.197696	-1
Q6ZN08	ZNF66		Q6ZN08	4040-A	NA	573	1	573	100.0	18	18	0.0016	0.202089	-1
Q8N9H8	EXD3		Q8N9H8	49d3-A	NA	876	1	876	100.0	86	94	0.0016	0.202089	-1
P35222	CTNNB1	P35222	P35222	27a1-A	NA	781	1	685	100.0	115	144	0.0016	0.202089	0.0205474
O14715	RGPD8		O14715	16e3-A	NA	1765	1	1765	100.0	27	34	0.0016	0.202089	-1
Q8WUI4	HDAC7		Q8WUI4	4f0b-A	NA	952	1	952	100.0	57	57	0.0016	0.202089	-1
O60721	SLC24A1		O60721	19f8-A	NA	1099	1	1099	100.0	66	74	0.0016	0.202089	-1
Q494V2	CFAP100		Q494V2	37f3-A	NA	611	49	611	100.0	87	106	0.0017	0.211778	-1
Q86U86	PBRM1	Q86U86	Q86U86	43fd-A	NA	1689	44	1689	100.0	178	199	0.0017	0.211778	0.0214552
Q9NRH1	YAE1		Q9NRH1	6109-A	NA	226	1	226	100.0	23	23	0.0018	0.212587	-1
P29322	EPHA8		P29322	26a8-A	NA	1005	28	1005	100.0	164	192	0.0018	0.212587	-1
Q99607	ELF4	Q99607	Q99607	5839-A	NA	663	1	663	100.0	55	55	0.0018	0.212587	0.0223322
O76002	OR2J2		O76002	1bb8-A	NA	312	1	312	100.0	102	122	0.0018	0.212587	-1
P26441	CNTF		P26441	2633-A	NA	200	1	200	100.0	38	51	0.0018	0.212587	-1
Q5VUJ5	AGAP7P		Q5VUJ5	3be8-A	NA	663	257	663	100.0	36	45	0.0018	0.212587	-1
P67870	CSNK2B		P67870	2de4-A	NA	215	1	215	100.0	29	33	0.0018	0.212587	-1
Q6ZW05	PTCHD4		Q6ZW05	4160-A	NA	846	1	846	100.0	195	233	0.0018	0.212587	-1
P21217	FUT3		P21217	24e7-A	NA	361	1	361	100.0	62	78	0.0019	0.217341	-1
Q9Y6R7	FCGBP		Q9Y6R7	6b14-A	NA	5405	601	2000	100.0	179	180	0.0019	0.217341	-1
Q9BV44	THUMPD3		Q9BV44	5a1e-A	NA	507	34	507	100.0	56	57	0.0019	0.217341	-1
A4D1E1	ZNF804B		A4D1E1	12d2-A	NA	1349	1	1180	100.0	87	108	0.0019	0.217341	-1
A6NDN3	GOLGA6B		A6NDN3	133c-A	NA	693	1	614	100.0	32	34	0.0019	0.217341	-1
P60174	TPI1		P60174	2cf1-A	NA	249	1	249	100.0	32	38	0.002	0.224543	-1
Q8IVS2	MCAT		Q8IVS2	4614-A	NA	390	26	390	100.0	38	42	0.002	0.224543	-1
Q92879	CELF1		Q92879	5204-A	NA	486	1	486	100.0	46	50	0.002	0.224543	-1
O15119	TBX3	O15119	O15119	1784-A	NA	743	1	743	100.0	80	96	0.0021	0.230089	0.02562
Q969V1	MCHR2		Q969V1	528f-A	NA	340	1	340	100.0	102	130	0.0021	0.230089	-1
P56545	CTBP2		P56545	2c3a-A	NA	445	24	445	100.0	47	48	0.0021	0.230089	-1
Q92604	LPGAT1		Q92604	5186-A	NA	370	1	370	100.0	43	51	0.0021	0.230089	-1
Q8N0Y3	OR4N4		Q8N0Y3	47a2-A	NA	316	1	316	100.0	132	192	0.0022	0.232637	-1
P49711	CTCF	P49711	P49711	2a35-A	NA	727	158	727	100.0	91	131	0.0022	0.232637	0.0264
Q9Y2K7	KDM2A		Q9Y2K7	68e0-A	NA	1162	35	1162	100.0	78	77	0.0022	0.232637	-1
Q9H5I5	PIEZO2		Q9H5I5	5de5-A	NA	2752	1401	2752	100.0	142	149	0.0022	0.232637	-1
P50616	TOB1		P50616	2aa1-A	NA	345	1	345	100.0	37	40	0.0022	0.232637	-1
Q3LIE5	ADPRM		Q3LIE5	37ad-A	NA	342	1	342	100.0	45	48	0.0022	0.232637	-1
O00571	DDX3X	O00571	O00571	165c-A	NA	662	36	604	100.0	113	165	0.0023	0.240416	0.0271548
Q9Y4P1	ATG4B		Q9Y4P1	69e7-A	NA	393	1	393	100.0	41	44	0.0023	0.240416	-1
Q96N23	CFAP54		Q96N23	563b-A	NA	3096	201	1553	100.0	62	40	0.0024	0.245231	-1
P50548	ERF		P50548	2a97-A	NA	548	1	548	100.0	63	67	0.0024	0.245231	-1
A8K0R7	ZNF839		A8K0R7	1462-A	NA	811	81	811	100.0	36	39	0.0024	0.245231	-1
P54317	PNLIPRP2		P54317	2baf-A	NA	469	1	469	100.0	80	90	0.0024	0.245231	-1
P19338	NCL		P19338	244c-A	NA	710	1	710	100.0	54	58	0.0025	0.24847	-1
Q96QU4	FRG2B		Q96QU4	5724-A	NA	278	1	278	100.0	48	75	0.0025	0.24847	-1
Q9H1A4	ANAPC1		Q9H1A4	5cbc-A	NA	1944	1	1944	100.0	154	177	0.0025	0.24847	-1
Q9Y6Q1	CAPN6		Q9Y6Q1	6b07-A	NA	641	1	641	100.0	162	191	0.0025	0.24847	-1
Q01524	DEFA6		Q01524	2f5a-A	NA	100	1	100	100.0	17	21	0.0025	0.24847	-1
P04746	AMY2A		P04746	1f14-A	NA	511	1	511	100.0	58	75	0.0026	0.257004	-1
Q07864	POLE	Q07864	Q07864	30b6-A	NA	2286	29	2286	100.0	328	330	0.0028	0.269452	0.0325333
P08579	SNRPB2		P08579	2013-A	NA	225	1	225	100.0	21	22	0.0028	0.269452	-1
Q8N2N9	ANKRD36B		Q8N2N9	4822-A	NA	1353	1	1353	100.0	35	47	0.0028	0.269452	-1
Q8N0X2	SPAG16		Q8N0X2	479e-A	NA	631	57	631	100.0	140	168	0.0028	0.269452	-1
Q8NAF0	ZNF579		Q8NAF0	4a18-A	NA	562	1	521	100.0	22	26	0.0028	0.269452	-1
A6NHN6	NPIPB15		A6NHN6	13a7-A	NA	443	1	443	100.0	27	37	0.0029	0.276153	-1
A4D1T9	PRSS37		A4D1T9	12d9-A	NA	235	24	235	100.0	45	50	0.0029	0.276153	-1
Q92826	HOXB13		Q92826	51eb-A	NA	284	1	284	100.0	62	72	0.003	0.278388	-1
Q8NEG0	GARIN6		Q8NEG0	4b17-A	NA	241	1	180	100.0	43	57	0.003	0.278388	-1
Q8NG94	OR11H1		Q8NG94	4beb-A	NA	326	23	326	100.0	37	49	0.003	0.278388	-1
P56856	CLDN18		P56856	2c51-A	NA	261	1	261	100.0	39	42	0.003	0.278388	-1
Q9Y6C9	MTCH2		Q9Y6C9	6ad3-A	NA	303	1	303	100.0	39	44	0.003	0.278388	-1
Q8IX06	REXO1L1P		Q8IX06	467a-A	NA	675	1	675	100.0	25	27	0.0031	0.283331	-1
P0CG48	UBC		P0CG48	2121-A	NA	685	1	685	100.0	88	85	0.0031	0.283331	-1
Q9H321	VCX3B		Q9H321	5d51-A	NA	246	1	246	100.0	15	15	0.0031	0.283331	-1
O14686	KMT2D	O14686	O14686	16cc-A	NA	5537	201	1600	100.0	62	71	0.0032	0.28956	0.0366
Q13115	DUSP4		Q13115	321b-A	NA	394	1	394	100.0	30	39	0.0032	0.28956	-1
Q9HAP2	MLXIP		Q9HAP2	5eee-A	NA	919	31	919	100.0	57	64	0.0033	0.291361	-1
Q9H2M9	RAB3GAP2		Q9H2M9	5d31-A	NA	1393	1	1393	100.0	188	192	0.0033	0.291361	-1
Q4V339	ZNG1F		Q4V339	3873-A	NA	395	39	395	100.0	16	16	0.0033	0.291361	-1
P41229	KDM5C	P41229	P41229	289d-A	NA	1560	1	1447	100.0	173	169	0.0033	0.291361	0.0371631
Q9UPT6	MAPK8IP3		Q9UPT6	681d-A	NA	1336	24	1336	100.0	111	110	0.0033	0.291361	-1
Q9H0E9	BRD8		Q9H0E9	5c76-A	NA	1235	1	1212	100.0	60	67	0.0034	0.294472	-1
Q9BR39	JPH2		Q9BR39	593b-A	NA	696	1	696	100.0	91	112	0.0034	0.294472	-1
Q8N283	ANKRD35		Q8N283	4802-A	NA	1001	1	1001	100.0	133	145	0.0034	0.294472	-1
P08294	SOD3		P08294	1ff4-A	NA	240	25	240	100.0	11	11	0.0034	0.294472	-1
P05556	ITGB1		P05556	1f5c-A	NA	798	1	798	100.0	106	108	0.0035	0.298864	-1
Q68CP9	ARID2	Q68CP9	Q68CP9	3cc7-A	NA	1835	1	1835	100.0	136	164	0.0035	0.298864	0.0388182
P00740	F9		P00740	1dd7-A	NA	461	1	461	100.0	124	143	0.0035	0.298864	-1
Q9Y2K5	R3HDM2		Q9Y2K5	68de-A	NA	976	1	976	100.0	33	33	0.0036	0.301736	-1
P58062	SPINK7		P58062	2c85-A	NA	85	1	85	100.0	18	17	0.0036	0.301736	-1
O95190	OAZ2		O95190	1c7a-A	NA	189	25	189	100.0	16	16	0.0036	0.301736	-1
P16066	NPR1		P16066	2394-A	NA	1061	1	1061	100.0	144	153	0.0036	0.301736	-1
Q8NDZ4	DIPK2A		Q8NDZ4	4af9-A	NA	430	1	430	100.0	66	75	0.0037	0.305889	-1
Q9ULM2	ZNF490		Q9ULM2	673b-A	NA	529	56	529	100.0	77	85	0.0037	0.305889	-1
Q499Z4	ZNF672		Q499Z4	380b-A	NA	452	1	452	100.0	67	77	0.0037	0.305889	-1
Q92502	STARD8		Q92502	5153-A	NA	1023	32	1023	100.0	94	100	0.0038	0.311326	-1
O94889	KLHL18		O94889	1c11-A	NA	574	1	574	100.0	78	82	0.0038	0.311326	-1
Q9BXX2	ANKRD30B		Q9BXX2	5ae9-A	NA	1392	1	1392	100.0	164	166	0.0039	0.31224	-1
P55822	SH3BGR		P55822	2c18-A	NA	239	1	239	100.0	41	47	0.0039	0.31224	-1
A4FU28	CTAGE9		A4FU28	12e5-A	NA	777	1	777	100.0	48	52	0.0039	0.31224	-1
P01106	MYC	P01106	P01106	1df5-A	NA	454	1	439	100.0	75	100	0.0039	0.31224	0.042609
Q9UNE0	EDAR		Q9UNE0	67a9-A	NA	448	1	448	100.0	70	85	0.004	0.31224	-1
Q99819	ARHGDIG		Q99819	58a1-A	NA	225	1	225	100.0	14	15	0.004	0.31224	-1
Q6UVW9	CLEC2A		Q6UVW9	3f2f-A	NA	174	1	174	100.0	12	11	0.004	0.31224	-1
Q70CQ1	USP49		Q70CQ1	4185-A	NA	688	1	659	100.0	65	70	0.004	0.31224	-1
Q8NEN9	PDZD8		Q8NEN9	4b29-A	NA	1154	1	1109	100.0	97	105	0.004	0.31224	-1
Q03013	GSTM4		Q03013	3007-A	NA	218	1	218	100.0	34	34	0.004	0.31224	-1
Q9HC57	WFDC1		Q9HC57	5f5f-A	NA	220	1	220	100.0	15	18	0.004	0.31224	-1
Q13029	PRDM2		Q13029	31fc-A	NA	1718	1	1718	100.0	98	99	0.0041	0.315978	-1
Q5J8M3	EMC4		Q5J8M3	398c-A	NA	183	1	183	100.0	21	24	0.0041	0.315978	-1
O95998	IL18BP		O95998	1da1-A	NA	194	1	194	100.0	16	17	0.0041	0.315978	-1
Q5VIR6	VPS53		Q5VIR6	3b8b-A	NA	832	1	832	100.0	77	89	0.0042	0.31829	-1
Q5VTL7	FNDC7		Q5VTL7	3bd3-A	NA	733	26	733	100.0	99	104	0.0042	0.31829	-1
Q9HCC9	ZFYVE28		Q9HCC9	5f83-A	NA	887	1	887	100.0	76	79	0.0042	0.31829	-1
Q96BZ9	TBC1D20		Q96BZ9	532c-A	NA	403	1	377	100.0	41	51	0.0042	0.31829	-1
Q8NG06	TRIM58		Q8NG06	4bd5-A	NA	486	1	462	100.0	144	207	0.0043	0.323175	-1
Q13370	PDE3B		Q13370	3283-A	NA	1112	46	1112	100.0	107	120	0.0043	0.323175	-1
Q9P225	DNAH2		Q9P225	641e-A	NA	4427	201	1600	100.0	249	254	0.0044	0.323997	-1
Q8IWP9	CCDC28A		Q8IWP9	4657-A	NA	274	1	274	100.0	42	56	0.0044	0.323997	-1
Q7LBC6	KDM3B		Q7LBC6	4225-A	NA	1761	1	1761	100.0	128	152	0.0044	0.323997	-1
Q5VT52	RPRD2		Q5VT52	3bc5-A	NA	1461	1	1461	100.0	57	59	0.0044	0.323997	-1
O75952	CABYR		O75952	1ba0-A	NA	493	1	493	100.0	27	29	0.0044	0.323997	-1
O00570	SOX1		O00570	165b-A	NA	391	1	391	100.0	27	32	0.0045	0.328699	-1
O95158	NXPH4		O95158	1c6a-A	NA	308	1	308	100.0	32	33	0.0045	0.328699	-1
