GENE_NAMES	UNIPROT_ID	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED	NOTES
ARHGAP20	Q9P2F6		Q9P2F6	3msx-B	NA	1191	360	551	100	44	47	0.000473684	0.155223	-1	
KEAP1	Q14145	"S,M"	Q14145	1u6d-X	NA	624	322	609	100	73	113	0.000462687	0.155223	0.0144058	
PDK1	Q15118		Q15118	2q8h-A	NA	436	41	423	100	50	50	0.000473684	0.155223	-1	
OR11H12	B2RN74		P29274	4uhr-A	NA	326	52	322	22.7	52	78	0.000484848	0.15636	-1	
KLRF1	Q9NZS2		D3W0D1	4iop-B	NA	232	112	231	40.8	31	34	0.000534737	0.169754	-1	
IL18BP	O95998		Q9DHU8	4eee-A	NA	194	74	169	28.3	9	10	0.000547619	0.171169	-1	
IQUB	Q8NA54		Q8NA54	2daf-A	NA	791	123	227	100	22	25	0.000585366	0.173831	-1	
PARVB	Q9HBI1		Q9HBI1	4edn-A	NA	364	238	364	100	15	19	0.000590361	0.173831	-1	
PKD1	P98161		P98161	1b4r-A	NA	4303	275	354	100	9	11	0.000571429	0.173831	-1	
PPP3CA	Q08209		Q08209	1aui-A	NA	521	14	486	100	63	72	0.000589286	0.173831	-1	
GTF2IRD1	Q9UHL9		P78347	2ed2-A	NA	959	250	336	20.2	12	13	0.000659091	0.191296	-1	
KMT2C	Q8NEZ4	"C,S,M"	Q92784	5szc-A	NA	4911	952	1054	37.3	29	40	0.000686567	0.196465	0.0208138	
OR11H1	Q8NG94		P29274	4uhr-A	NA	326	52	322	23	23	30	0.000702128	0.198127	-1	
COTL1	Q14019		Q14019	1t2l-B	NA	142	2	131	100	15	16	0.00076	0.208379	-1	
ENDOV	Q8N8Q3		Q8N8Q3	4nsp-A	NA	282	13	250	100	19	21	0.000769231	0.208379	-1	
ZNF181	Q2M3W8		Q96SE7	2ema-A	NA	571	150	182	33.3	9	10	0.000758621	0.208379	-1	
LPA	P08519		P00747	4a5t-S	NA	4548	2870	3412	46.1	17	22	0.000831933	0.2224	-1	
CHEK2	O96017	S	O96017	3i6w-B	NA	543	92	501	100	87	100	0.000853659	0.223264	0.0252158	
MYH4	Q9Y623		P12883	4xa3-A	NA	1939	1365	1429	89.2	16	22	0.000857143	0.223264	-1	
COL22A1	Q8NFW1		P02466	3hqv-B	NA	1626	481	1401	41.4	274	308	0.00087234	0.224346	-1	
CSNK2B	P67870		P67870	1jwh-D	NA	215	2	205	100	26	31	0.000956522	0.239922	-1	
RAPSN	Q13702		P81274	3sf4-B	NA	412	38	326	20.3	30	32	0.000952381	0.239922	-1	
DLL4	Q9NR61		Q07008	5uk5-A	NA	685	365	521	34.8	24	26	0.001	0.244783	-1	
FOXA1	P55317	"C,S,M"	P55318	1vtn-C	NA	472	168	268	95	36	73	0.001	0.244783	0.0288	
ADPRM	Q3LIE5		Q7T291	2nxf-A	NA	342	17	335	51.7	39	43	0.00108803	0.26316	-1	
ZMAT4	Q9H898		Q8AVN9	1zu1-A	NA	229	10	106	52.6	26	30	0.00110526	0.264184	-1	
MMP13	P45452		P45452	4g0d-A	NA	471	104	471	100	77	89	0.001125	0.265775	-1	
NFE2L2	Q16236	"C,S,M"	Q16236	4ifl-P	NA	605	69	84	100	7	90	0.00118182	0.275989	0.0332062	
MYLK	Q15746		Q9JMB8	5e5u-D	NA	1914	251	512	20.3	39	54	0.00126923	0.289741	-1	
NME3	Q13232		Q13232	1zs6-B	NA	169	18	169	100	10	11	0.00126667	0.289741	-1	
AMY2A	P04746		P04746	3bai-A	NA	511	17	511	100	54	72	0.0014375	0.295007	-1	
CCL4	P13236		P13236	1je4-A	NA	92	24	92	100	13	16	0.0014	0.295007	-1	
CTBP2	P56545		P56545	2ome-D	NA	445	33	362	100	44	45	0.00133333	0.295007	-1	
HMBOX1	Q6NT76		Q6NT76	4j19-A	NA	420	269	345	100	11	14	0.00132	0.295007	-1	
KMT2C	Q8NEZ4	"C,S,M"	Q8NEZ4	5f59-A	NA	4911	4757	4910	100	24	26	0.00134884	0.295007	0.0369967	
MYH8	P13535		P12883	5wlz-C	NA	1937	1680	1751	73.6	21	28	0.00138462	0.295007	-1	
PI4KAP2	A4QPH2		P42356	6bq1-E	NA	592	174	575	90	14	16	0.00141176	0.295007	-1	
RARA	P10276	S	P10276	3a9e-B	NA	462	177	415	100	41	56	0.00138462	0.295007	0.0370948	
ZNF114	Q8NC26		D9IWL3	5v3g-A	NA	417	175	355	31.9	22	25	0.00143478	0.295007	-1	
ZNF585B	Q52M93		D9IWL3	5v3g-A	NA	769	575	741	63.5	22	24	0.00138462	0.295007	-1	
ANKRD35	Q8N283		Q01484	5y4d-A	NA	1001	27	242	34.3	49	56	0.00157143	0.316106	-1	
PRPF8	Q6P2Q9		Q6P2Q9	5o9z-A	NA	2335	63	2319	100	274	267	0.0015625	0.316106	-1	
EIF1AX	P47813		P47813	1d7q-A	NA	144	2	144	100	31	71	0.00163636	0.316629	-1	
MRPS24	Q96EL2		Q2M2T7	3jd5-C	NA	167	36	167	90.9	17	19	0.00161538	0.316629	-1	
TNFRSF6B	O95407		O95407	4kgg-D	NA	300	33	195	100	14	15	0.00161538	0.316629	-1	
TSC1	Q92574	"C,S,M"	Q09778	4kk0-A	NA	1164	85	263	25.2	31	33	0.00163636	0.316629	0.0428177	
DIS3	Q9Y2L1	M	Q08162	5g06-J	NA	958	5	911	43.5	106	143	0.00167257	0.319006	0.0428177	
PCDHB8	Q9UN66		Q91XX9	5szn-A	NA	801	32	557	45.7	183	260	0.00168006	0.319006	-1	
ABTB1	Q969K4		Q13105	2q81-B	NA	478	106	212	30.7	20	26	0.00171429	0.322492	-1	
ZNF322	Q6U7Q0		Q07230	2i13-A	NA	402	10	65	31.7	11	13	0.00175	0.32619	-1	
ELOA3C	A0A087WX78		Q14241	4hfx-B	NA	387	201	274	68.9	14	27	0.0018	0.329465	-1	
OR4C3	Q8NH37		P21453	3v2y-A	NA	302	13	300	24.3	93	125	0.0018	0.329465	-1	
KIF5B	P33176	S	P33176	5lt4-E	NA	963	7	324	100	49	52	0.001825	0.331058	0.0457043	
MACF1	Q9UPN3		P15924	3r6n-A	NA	7388	579	1037	35.7	63	72	0.00185714	0.333908	-1	
VRK2	Q86Y07		Q86Y07	2v62-A	NA	508	15	330	100	43	48	0.001875	0.334161	-1	
MCM4	P33991		P30665	5udb-4	NA	863	151	861	47.4	107	122	0.0019	0.335672	-1	
TIE1	P35590		P35590	5n06-B	NA	1138	644	737	100	15	16	0.00191667	0.335698	-1	
KCNC1	P48547		P51787	4umo-B	NA	511	444	483	20	11	12	0.00194444	0.337652	-1	
ASRGL1	Q7L266		Q7L266	4o0g-B	NA	308	1	308	100	42	49	0.002	0.338617	-1	
ITGA2B	P08514		P08514	2knc-A	NA	1039	991	1039	100	8	13	0.002	0.338617	-1	
OR2J2	O76002		P21453	3v2y-A	NA	312	19	306	26.1	84	103	0.002	0.338617	-1	
TBC1D20	Q96BZ9		Q96BZ9	4hlq-C	NA	403	25	305	100	36	43	0.0020625	0.346313	-1	
KLF5	Q13887		Q13887	2ebt-A	NA	457	365	457	100	10	34	0.00211111	0.347299	-1	
NRAS	P01111	"C,S,M"	P01111	5uhv-A	NA	189	1	166	100	40	370	0.00215385	0.347299	0.0516923	
PCDHGA5	Q9Y5G8		Q9H251	5tfm-A	NA	931	558	666	32.5	29	42	0.002125	0.347299	-1	
RB1	P06400	"C,S,M"	P06400	4elj-A	NA	928	53	771	100	106	118	0.0021	0.347299	0.0514723	
TMEFF2	Q9UIK5		O95633	3b4v-D	NA	374	69	228	23.4	29	42	0.00215385	0.347299	-1	
TRIML2	Q8N7C3		O15553	4cg4-A	NA	387	46	378	29.9	122	155	0.00222222	0.355503	-1	
ERBB3	P21860	"S,M"	P21860	4leo-C	NA	1342	27	630	100	121	217	0.0022766	0.358555	0.0535232	
OR4F4	Q96R69		P21453	3v2y-A	NA	305	11	294	25.9	10	11	0.00226923	0.358555	-1	
SSPO	A2VEC9		P01130	1n7d-A	NA	5150	1449	1744	31	24	25	0.0023	0.359455	-1	
CAPSL	Q8WWF8		Q13938	3e3r-B	NA	208	26	208	54.1	56	76	0.00233333	0.36023	-1	
CDHR4	A6H8M9		Q91XX7	5szr-A	NA	788	233	650	24.4	26	30	0.00234043	0.36023	-1	
DUSP16	Q9BY84		Q9BY84	3tg3-D	NA	665	8	138	100	10	12	0.00241667	0.363699	-1	
IGHG3	P01860		P01860	5w38-A	NA	377	165	373	100	44	53	0.00238889	0.363699	-1	
MLLT1	Q03111	S	Q03111	5j9s-A	NA	559	5	148	100	27	37	0.0024	0.363699	0.055296	
DGUOK	Q16854		Q16854	2ocp-E	NA	277	37	277	100	30	34	0.0025	0.370748	-1	
USP49	Q70CQ1		Q8TEY7	2uzg-A	NA	688	2	86	30.7	12	16	0.0025	0.370748	-1	
ARHGDIG	Q99819		P19803	1doa-B	NA	225	36	225	61	14	15	0.0026	0.375578	-1	
CDC34	P49427		P49427	4mdk-A	NA	236	7	184	100	23	27	0.002625	0.375578	-1	
IL2RG	P31785		P31785	2erj-G	NA	369	54	248	100	33	35	0.002625	0.375578	-1	
NCL	P19338		P19338	2krr-A	NA	710	300	468	100	23	25	0.00257143	0.375578	-1	
WNT4	P56705		P28026	4f0a-B	NA	351	58	350	43.8	38	41	0.00257143	0.375578	-1	
HECTD2	Q5U5R9		Q05086	1c4z-A	NA	776	411	770	44.1	45	47	0.00271429	0.382959	-1	
PCDH12	Q9NPG4		Q99PJ1	5tpk-A	NA	1184	559	693	23	17	17	0.0027027	0.382959	-1	
SRSF12	Q8WXF0		Q61474	5x3z-A	NA	261	12	114	29.1	12	20	0.00275	0.385322	-1	
ATG4B	Q9Y4P1		Q9Y4P1	2d1i-A	NA	393	10	373	100	38	41	0.00276923	0.385359	-1	
ATAD1	Q8NBU5		P28737	5w0t-A	NA	361	52	337	49.5	32	36	0.003	0.388223	-1	
C16orf45	Q96MC5		Q8TDZ2	5lpn-B	NA	204	4	141	24.8	19	24	0.003	0.388223	-1	
CCM2L	Q9NUG4		Q9BSQ5	4ykc-A	NA	571	406	545	51.7	10	15	0.00288889	0.388223	-1	
IDO2	Q6ZQW0		P14902	5wmw-A	NA	420	30	416	44.1	80	98	0.003	0.388223	-1	
IRF7	Q92985		Q14653	5jek-B	NA	503	275	499	28.3	32	32	0.00285714	0.388223	-1	
ITGB1	P05556		P05556	4wk2-B	NA	798	25	464	100	49	59	0.003	0.388223	-1	
OR56A5	P0C7T3		P07550	4gbr-A	NA	313	23	310	23.9	70	86	0.003	0.388223	-1	
PLA2R1	Q13018		Q9UBG0	5ew6-A	NA	1463	25	507	38.7	67	76	0.003	0.388223	-1	
SRGAP1	Q7Z6B7		O75044	5i6r-A	NA	1085	5	471	79.3	71	79	0.00296429	0.388223	-1	
TEAD2	Q15562		Q15562	5emv-B	NA	447	218	446	100	37	38	0.00297049	0.388223	-1	
TLN2	Q9Y4G6		P26039	2l7a-A	NA	2542	790	914	78.4	15	16	0.003	0.388223	-1	
DEPDC1	Q5TB30		Q5TB30	2ysr-A	NA	811	11	108	100	12	12	0.00314286	0.3923	-1	
DNAH10	Q8IVF4		Q8NCM8	4rh7-A	NA	4471	1390	4470	29.7	500	456	0.00314286	0.3923	-1	
FBXW10	Q5XX13		Q969H0	5v4b-B	NA	1052	275	677	23.6	52	58	0.003125	0.3923	-1	
FLT3	P36888	"C,S,M"	P36888	4rt7-A	NA	993	599	950	100	66	94	0.00314286	0.3923	0.0688302	
KEAP1	Q14145	"S,M"	Q14145	5nlb-A	NA	624	51	204	100	58	87	0.00316667	0.3923	0.0688302	
PRKD2	Q9BZL6		A3FQ16	4y5q-A	NA	878	556	851	34.3	47	56	0.00316667	0.3923	-1	
SMAD4	Q13485	"C,S,M"	Q13485	5mey-A	NA	552	15	138	100	34	46	0.00306122	0.3923	0.0688302	
AGAP7P	Q5VUJ5		Q8TDY4	3lvq-E	NA	663	442	655	33.5	11	18	0.00333333	0.39374	-1	
ANAPC1	Q9H1A4		Q9H1A4	5khr-A	NA	1944	11	1934	100	118	148	0.00333333	0.39374	-1	
ANKAR	Q7Z5J8		Q02821	1wa5-B	NA	1434	686	792	31.5	10	11	0.00325	0.39374	-1	
FSHR	P23945		P02699	2g87-B	NA	695	362	659	23.1	70	95	0.00333333	0.39374	-1	
IGKV3-15	P01624		P01619	4m8q-L	NA	115	21	115	85.4	6	10	0.00333333	0.39374	-1	
KLF16	Q9BXK1		P03001	1tf6-A	NA	252	57	188	24.3	11	12	0.00328571	0.39374	-1	
PTPN1	P18031		P18031	2cne-A	NA	435	2	343	100	39	40	0.00328571	0.39374	-1	
SCAF8	Q9UPN6		Q9UPN6	3d9l-B	NA	1271	1	136	100	16	15	0.00322222	0.39374	-1	
ARL4C	P56559		P36397	3aq4-A	NA	192	1	175	49.1	18	17	0.00358333	0.400514	-1	
CAPNS1	P04632		P04632	4wq3-A	NA	268	96	268	100	23	27	0.0036	0.400514	-1	
CLDN18	P56856		O14493	5b2g-C	NA	261	1	194	36.7	31	34	0.0035	0.400514	-1	
CSH1	P0DML2		P0DML2	1z7c-A	NA	217	28	215	100	18	27	0.0036	0.400514	-1	
EFCAB6	Q5THR3		K4DIE3	3u0k-A	NA	1501	948	1135	21.2	30	34	0.00344444	0.400514	-1	
ELAVL1	Q15717		P26368	5ev2-A	NA	326	183	317	29.9	24	28	0.00352941	0.400514	-1	
FAS	P25445	S	P25445	3ezq-E	NA	335	223	335	100	23	29	0.00342857	0.400514	0.0731429	
GSDMB	Q8TAX9		Q8TAX9	5tj4-A	NA	411	221	408	100	18	20	0.00355556	0.400514	-1	
LHPP	Q9H008		Q9H008	2x4d-B	NA	270	15	260	100	29	37	0.0036	0.400514	-1	
NSD1	Q96L73	"S,M"	Q96L73	3ooi-A	NA	2696	1852	2082	100	43	54	0.00357143	0.400514	0.0748052	
PYROXD1	Q8WU10		Q52437	2yvg-A	NA	500	284	462	23.1	20	20	0.00366667	0.400514	-1	
RAC1	P63000	"C,S,M"	P63000	1ryh-B	NA	192	1	180	100	27	76	0.00366667	0.400514	0.0754286	
SLC27A5	Q9Y2P5		Q93TK0	4rlq-B	NA	690	112	652	25.8	72	91	0.003625	0.400514	-1	
SLC30A9	Q6PML9		Q8E919	3j1z-P	NA	568	254	500	25.8	29	36	0.00364516	0.400514	-1	
ZNF141	Q15928		D9IWL3	5v3g-A	NA	474	252	418	49.1	28	28	0.00370588	0.402633	-1	
ADGRG6	Q86SQ4		O88917	4dlq-A	NA	1221	536	840	23.4	34	38	0.0038	0.403533	-1	
ATP6V0A4	Q9HBG4		P32563	5voy-b	NA	840	10	832	37.8	124	131	0.00375862	0.403533	-1	
DIAPH2	O60879		O08808	1z2c-B	NA	1101	106	467	54.2	70	83	0.00382143	0.403533	-1	
RFX1	P22670		P22670	1dp7-P	NA	979	438	513	100	10	11	0.00375	0.403533	-1	
RGPD8	O14715		P49792	5cll-B	NA	1765	1034	1170	56.2	9	14	0.00383333	0.403533	-1	
SPEG	Q15772		Q5VST9	2edf-A	NA	3267	634	721	25.2	8	10	0.00383333	0.403533	-1	
IGKV3D-15	A0A087WSY6		P01619	4m8q-L	NA	115	21	115	85.4	6	10	0.00385714	0.403946	-1	
CTNNB1	P35222	"C,S,M"	P35222	1th1-A	NA	781	145	664	100	98	131	0.004	0.404318	0.0808421	
CXCR1	P25024		P25024	2lnl-A	NA	350	29	324	100	59	78	0.004	0.404318	-1	
HEXB	P07686		P07686	1nou-A	NA	556	55	552	100	50	52	0.004	0.404318	-1	
LRRN4	Q8WUT4		P10586	2dju-A	NA	740	580	662	44.7	13	14	0.004	0.404318	-1	
MBNL2	Q5VZF2		Q5VZF2	2e5s-A	NA	373	167	257	100	19	23	0.004	0.404318	-1	
RIPK2	O43353		O43353	4c8b-A	NA	540	8	316	100	39	39	0.0039375	0.404318	-1	
TTC28	Q96AY4		P81274	3sf4-B	NA	2481	725	1072	29.6	24	30	0.0039	0.404318	-1	
LRCH2	Q5VUJ6		O15335	5lfn-D	NA	765	52	283	29	38	40	0.00411111	0.413492	-1	
ST6GALNAC4	Q9H4F1		O43173	5bo7-A	NA	302	60	254	30.9	27	28	0.00414286	0.414633	-1	
D2HGDH	Q8N465		Q6NAV4	3pm9-F	NA	521	61	517	40	64	64	0.00416667	0.414971	-1	
RASD2	Q96D21		Q9NZQ0	2ys8-A	NA	266	197	241	31.2	10	15	0.0042	0.416251	-1	
AKR1C3	P42330		P42330	2f38-A	NA	323	5	323	100	51	63	0.0046	0.419095	-1	
C1QL1	O75973		O88992	4d7y-A	NA	258	128	258	100	21	24	0.0045	0.419095	-1	
CBWD6	Q4V339		P24203	4ixn-B	NA	395	42	373	30	15	15	0.0044	0.419095	-1	
CD300LG	Q6UXG3		Q9UGN4	2q87-A	NA	332	20	125	39.6	19	23	0.00428571	0.419095	-1	
CWF19L2	Q2TBE0		Q09909	3jb9-c	NA	894	672	863	33.8	34	34	0.0045	0.419095	-1	
FAHD1	Q6P587		Q6P587	1saw-A	NA	224	8	224	100	16	17	0.0045	0.419095	-1	
FGFR3	P22607	"C,S,M"	P22607	1ry7-B	NA	806	150	362	100	31	73	0.00457143	0.419095	0.0868721	
FGFR4	P22455	S	Q0E9I4	3dmk-C	NA	802	21	340	26.7	47	50	0.00426829	0.419095	0.0847771	
GNA13	Q14344	M	P27601	3ab3-A	NA	377	47	372	96.9	69	81	0.0046	0.419095	0.0868721	
KIF13B	Q9NQT8		Q9NQT8	3gbj-A	NA	1826	5	351	100	34	32	0.0046	0.419095	-1	
KLHL6	Q8WZ60		Q9NVR0	4ap2-A	NA	621	66	305	28.5	53	71	0.0045	0.419095	-1	
MCAT	Q8IVS2		Q8IVS2	2c2n-A	NA	390	60	375	100	36	41	0.0046	0.419095	-1	
PRL	P01236		P01236	3d48-P	NA	227	41	226	100	44	53	0.0044	0.419095	-1	
RBFOX1	Q9NWB1		Q60900	1d8z-A	NA	397	72	108	21.6	17	24	0.00455556	0.419095	-1	
RHEB	Q15382	M	Q15382	3t5g-A	NA	184	2	180	100	26	39	0.004375	0.419095	0.0854237	
SACM1L	Q9NTJ5		P32368	3lwt-X	NA	587	18	453	34.4	38	43	0.00455556	0.419095	-1	
ZNF441	Q8N8Z8		D9IWL3	5v3g-A	NA	693	472	638	49.7	32	33	0.00445455	0.419095	-1	
ZNF497	Q6ZNH5		Q07230	2i13-A	NA	498	143	296	50	19	22	0.00452	0.419095	-1	
FOLH1B	Q9HBA9		Q04609	1z8l-C	NA	442	1	442	98	122	151	0.00466667	0.423271	-1	
HNRNPA3	P51991		P09651	2lyv-A	NA	378	28	210	88.5	26	27	0.00475	0.427017	-1	
OAZ2	O95190		P54368	4zgy-B	NA	189	57	179	56.9	14	14	0.00475	0.427017	-1	
ARHGAP21	Q5T5U3		Q53QZ3	3byi-C	NA	1957	1127	1343	36.2	26	33	0.0048	0.427472	-1	
ATP6V0D1	P61421		P32366	5voz-Q	NA	351	7	351	45.9	45	50	0.00481818	0.427472	-1	
CCNI2	Q6ZMN8		P24864	5l2w-B	NA	369	156	308	29.2	16	16	0.0048	0.427472	-1	
CASP6	P55212		P55212	4iyr-A	NA	293	31	291	100	28	30	0.00491667	0.432277	-1	
EPHA5	P54756		P54756	4et7-A	NA	1037	59	232	100	57	72	0.005	0.432277	-1	
GSTM4	Q03013		Q03013	4gtu-A	NA	218	2	218	100	34	34	0.005	0.432277	-1	
OR10Z1	Q8NGY1		O43614	5ws3-A	NA	313	9	134	22.2	47	57	0.005	0.432277	-1	
PNLIPRP2	P54317		P54317	2pvs-A	NA	469	18	469	100	77	88	0.005	0.432277	-1	
SLC25A31	Q9H0C2		P02722	1okc-A	NA	315	17	304	73.1	58	74	0.005	0.432277	-1	
